, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,DMT 0.1,Trial     4,B8,0:00:00-0:30:00,1432.44,0.898894,87,1575.56,105,4.8,24,1.36,117.779,2944.48,6503.42,258706000
C1,DMT 0.1,Trial     4,C2,0:00:00-0:30:00,318.195,0.619876,0,0,0,0,0,0,117.924,2948.1,7857.15,99833000
C1,DMT 0.1,Trial     4,C8,0:00:00-0:30:00,3015.96,1.69466,1018,1634.68,1248,66.68,432,25.48,108.746,2718.65,6113.98,271332000
C1,DMT 0.1,Trial     4,D2,0:00:00-0:30:00,2030.35,1.15395,684,1697.24,886,40.4,150,8.52,110.961,2774.02,6952.09,304008000
C1,DMT 0.1,Trial     4,D8,0:00:00-0:30:00,1545.01,1.13811,301,393.48,375,17.76,76,4.48,114.43,2860.76,6127.8,207757000
C1,DMT 0.1,Trial     4,E2,0:00:00-0:30:00,1917.72,1.06822,374,1635.56,492,27,144,10.36,114.843,2871.07,7374.72,329510000
C1,DMT 0.1,Trial     4,E8,0:00:00-0:30:00,3486.4,1.93823,1698,1664.96,2105,91.24,227,12.48,99.4239,2485.6,4329.2,194221000
C1,DMT 0.1,Trial     4,F2,0:00:00-0:30:00,2416.44,1.37975,972,1715.36,1213,55.92,223,12.2,108.831,2720.77,6464.48,279492000
C1,DMT 0.1,Trial     4,F8,0:00:00-0:30:00,4207.04,2.34329,1587,1649.96,1975,101.28,721,40.68,100.908,2522.69,5268.02,235754000
C1,DMT 0.1,Trial     4,G2,0:00:00-0:30:00,1509.42,0.910015,176,1745.96,244,11.68,53,3.32,115.265,2881.63,6603.53,272898000
